Index,ITEM NO,DOM RLS CODE,MANUFACT WHSE,PRODUCT CLASS,PROD CLASS DESC ,ITEM HSE PROD LINE,ITEM HSE PROD LINE DESC,BUSINESS SEGMENT CDE,BUSINESS SEGMENT DESC,APPLICATION CDE,APPLICATION DESC,PRODUCT TYPE,PRODUCT TYPE DESC,PRODUCT GROUP,PRODUCT GROUP DESC,PROD SYSTEM,PROD SYSTEM DESC,PROD SUBSYSTEM,PROD SUBSYSTEM DESC,PROD FAMILY,PROD FAMILY DESC,MANUFACT TYPE CODE,INSTRUMENT DESC,VERTEX PROD ID
15,16,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,130,HIP,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7VG,JGKNT1.45MM LONG #2 BB,FGM,MISS,41N
16,17,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,322,LABRUM,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UT,JGKNT1.4MM SL BB,FGM,MISS,41N
17,18,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,394,SMALL BONE/JOINT,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7VE,JGKNT1.4MM SHORT #1 BB,FGP,MISS,41N
18,19,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,394,SMALL BONE/JOINT,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7VF,JGKNT1.4MM SHORT #1 BB 10,FGM,MISS,41N
19,20,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,322,LABRUM,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V5,JGKNT1.4MM SL BB 10PK,FGM,MISS,41N
21,22,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,322,LABRUM,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V3,JGKNT1.5MM SL BB,FGM,MISS,41N
22,23,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,322,LABRUM,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V4,JGKNT1.5MM SL BB 10PK,FGM,MISS,41N
23,24,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UU,JGKNT2.9MM DBL LDD SL BB,FGM,MISS,41N
24,25,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V7,JGKNT2.9MM SHORT DBL LDD,FGM,MISS,41N
25,26,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V8,JK2.9MM SHRT DBL LD SL BB,FGM,MISS,41N
26,27,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UV,JGKNT2.9MM DBL LDD SL BB,FGM,MISS,41N
27,28,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,394,SMALL BONE/JOINT,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7VB,JGKNT1.45MM RIGID #2 BB,FGM,MISS,41N
28,29,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V2,JGKNT1.4MM NS MAXBRAID,FGM,MISS,41N
29,30,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,130,HIP,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7VG,JGKNT1.45MM LONG #2 BB,FGM,MISS,41N
30,31,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7V6,JGKNT1.5MM NS MAXBRAID,FGM,MISS,41N
31,32,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UU,JGKNT2.9MM DBL LDD SL BB,FGM,MISS,41N
32,33,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UY,JGKNT2.9MM DBL LDD NS BB,FGM,MISS,41N
33,34,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UZ,JGKNT2.9MM DBL LDD NS BB,FGM,MISS,41N
34,35,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UV,JGKNT2.9MM DBL LDD SL BB,FGM,MISS,41N
35,36,N5,1A,41.0,OTHER TOTAL JOINTS,17.0,OTHER TOTAL JOINT,815.0,SPORTS MEDICINE,16.0,SHOULDER,321,CUFF,76.0,SHOULDER IMPLANT,105,JUGGERKNOT,,,B7UY,JGKNT2.9MM DBL LDD NS BB,FGM,MISS,41N
